"player","year","draft_era","team","overall_pick","pick_range","nationality","position","player_type","games_played","points","point_shares","career_tier"
"Rob Scuderi",1998,"1990s","Pittsburgh Penguins",134,"Round 5+","United States","D","Skater",783,110,30.60,"Solid NHL Player"
"Dennis O'Brien",1973,"Pre-1980","Detroit Red Wings",135,"Round 5+","CA","D","Skater",592,122,30.50,"Solid NHL Player"
"Alexei Kasatonov",1983,"1980s","New Jersey Devils",225,"Round 5+","CA","D","Skater",383,160,30.50,"Solid NHL Player"
"Carl Hagelin",2007,"2000s","New York Rangers",168,"Round 5+","SE","LW","Skater",713,296,30.30,"Solid NHL Player"
"P.A. Parenteau",2001,"2000s","Anaheim Ducks",264,"Round 5+","CA","LW","Skater",491,296,30.20,"Solid NHL Player"
"Keith Acton",1978,"Pre-1980","Montreal Canadiens",103,"Round 4","CA","C","Skater",1023,584,29.90,"Solid NHL Player"
"Jan Hejda",2003,"2000s","Buffalo Sabres",106,"Round 4","CZ","D","Skater",627,135,29.80,"Solid NHL Player"
"Mike McPhee",1980,"1980s","Montreal Canadiens",124,"Round 4","CA","LW","Skater",744,399,29.50,"Solid NHL Player"
"Richard Sevigny",1977,"Pre-1980","Montreal Canadiens",124,"Round 4","CA","G","Goalie",176,1,29.20,"Solid NHL Player"
"John Grahame",1994,"1990s","Boston Bruins",229,"Round 5+","United States","G","Goalie",224,9,29.20,"Solid NHL Player"
"Randy McKay",1985,"1980s","Detroit Red Wings",113,"Round 4","CA","RW","Skater",932,363,29.20,"Solid NHL Player"
"Bob Lorimer",1973,"Pre-1980","New York Islanders",129,"Round 5+","CA","D","Skater",529,112,29.10,"Solid NHL Player"
"Dave Langevin",1974,"Pre-1980","New York Islanders",112,"Round 4","United States","D","Skater",513,119,29.10,"Solid NHL Player"
"Christian Ruuttu",1983,"1980s","Buffalo Sabres",134,"Round 5+","CA","C","Skater",621,432,28.90,"Solid NHL Player"
"Petri Skriko",1981,"1980s","Vancouver Canucks",157,"Round 5+","FI","RW","Skater",541,405,28.20,"Solid NHL Player"
"Linus Ullmark",2012,"2010s","Buffalo Sabres",163,"Round 5+","SE","G","Goalie",158,2,28.20,"Solid NHL Player"
"Josh Manson",2011,"2010s","Anaheim Ducks",160,"Round 5+","CA","D","Skater",475,120,28.20,"Solid NHL Player"
"Mike Grier",1993,"1990s","St. Louis Blues",219,"Round 5+","United States","RW","Skater",1060,383,28.20,"Solid NHL Player"
"Karel Rachunek",1997,"1990s","Ottawa Senators",229,"Round 5+","CZ","D","Skater",371,140,28.00,"Solid NHL Player"
"Ales Kotalik",1998,"1990s","Buffalo Sabres",164,"Round 5+","CZ","RW","Skater",542,284,27.90,"Solid NHL Player"
"Brooks Laich",2001,"2000s","Ottawa Senators",193,"Round 5+","CA","C","Skater",776,332,27.80,"Solid NHL Player"
"Kelly Miller",1982,"1980s","New York Rangers",183,"Round 5+","United States","LW","Skater",1057,463,27.70,"Solid NHL Player"
"Mike York",1997,"1990s","New York Rangers",136,"Round 5+","United States","LW","Skater",579,322,27.60,"Solid NHL Player"
"Pelle Eklund",1983,"1980s","Philadelphia Flyers",161,"Round 5+","SE","C","Skater",594,455,27.50,"Solid NHL Player"
"Jonathan Ericsson",2002,"2000s","Detroit Red Wings",291,"Round 5+","SE","D","Skater",680,125,27.30,"Solid NHL Player"
"Patrick Maroon",2007,"2000s","Philadelphia Flyers",161,"Round 5+","United States","LW","Skater",649,274,27.30,"Solid NHL Player"
"Devon Toews",2014,"2010s","New York Islanders",108,"Round 4","CA","D","Skater",235,134,27.20,"Solid NHL Player"
"Sergei Nemchinov",1990,"1990s","New York Rangers",244,"Round 5+","RU","LW","Skater",761,345,27.10,"Solid NHL Player"
"Jannik Hansen",2004,"2000s","Vancouver Canucks",287,"Round 5+","DK","LW","Skater",626,256,26.90,"Solid NHL Player"
"Chad Johnson",2006,"2000s","Pittsburgh Penguins",125,"Round 4","CA","G","Goalie",192,3,26.40,"Solid NHL Player"
"Scott Clemmensen",1997,"1990s","New Jersey Devils",215,"Round 5+","United States","G","Goalie",191,3,26.40,"Solid NHL Player"
"Magnus Arvedson",1997,"1990s","Ottawa Senators",119,"Round 4","SE","LW","Skater",434,225,26.40,"Solid NHL Player"
"Jan Hrdina",1995,"1990s","Pittsburgh Penguins",128,"Round 4","CZ","C","Skater",513,297,26.10,"Solid NHL Player"
"Erik Haula",2009,"2000s","Minnesota Wild",182,"Round 5+","FI","LW","Skater",534,240,26.00,"Solid NHL Player"
"Andrew Shaw",2011,"2010s","Chicago Blackhawks",139,"Round 5+","CA","C","Skater",544,247,25.90,"Solid NHL Player"
"Deryk Engelland",2000,"2000s","New Jersey Devils",194,"Round 5+","CA","D","Skater",671,127,25.80,"Solid NHL Player"
"Eddie Mio",1974,"Pre-1980","Chicago Blackhawks",124,"Round 4","CA","G","Goalie",192,11,25.30,"Solid NHL Player"
"Jonas Hoglund",1992,"1990s","Calgary Flames",222,"Round 5+","SE","LW","Skater",545,262,25.20,"Solid NHL Player"
"Robert Esche",1996,"1990s","Phoenix Coyotes",139,"Round 5+","United States","G","Goalie",186,8,24.90,"Solid NHL Player"
"Chris Campoli",2004,"2000s","New York Islanders",227,"Round 5+","CA","D","Skater",440,146,24.80,"Solid NHL Player"
"Kevin Miller",1984,"1980s","New York Rangers",202,"Round 5+","United States","C","Skater",620,335,24.80,"Solid NHL Player"
"Kyle Calder",1997,"1990s","Chicago Blackhawks",130,"Round 5+","CA","LW","Skater",590,294,24.60,"Solid NHL Player"
"Zach Hyman",2010,"2010s","Florida Panthers",123,"Round 4","CA","C","Skater",421,239,24.40,"Solid NHL Player"
"Mikhail Shtalenkov",1993,"1990s","Anaheim Ducks",108,"Round 4","RU","G","Goalie",190,6,24.40,"Solid NHL Player"
"Janne Laukkanen",1991,"1990s","Quebec Nordiques",156,"Round 5+","FI","D","Skater",407,121,24.30,"Solid NHL Player"
"Gord Lane",1973,"Pre-1980","Pittsburgh Penguins",134,"Round 5+","CA","D","Skater",539,113,24.20,"Solid NHL Player"
"Keith Jones",1988,"1980s","Washington Capitals",141,"Round 5+","CA","RW","Skater",491,258,24.20,"Solid NHL Player"
"Matthew Lombardi",2000,"2000s","Edmonton Oilers",215,"Round 5+","CA","C","Skater",536,262,24.10,"Solid NHL Player"
"Darcy Wakaluk",1984,"1980s","Buffalo Sabres",144,"Round 5+","CA","G","Goalie",191,6,24.10,"Solid NHL Player"
"Marcus Foligno",2009,"2000s","Buffalo Sabres",104,"Round 4","United States","LW","Skater",678,251,23.80,"Solid NHL Player"
"Randy Cunneyworth",1980,"1980s","Buffalo Sabres",167,"Round 5+","CA","LW","Skater",866,414,23.70,"Solid NHL Player"
"Randy Hillier",1980,"1980s","Boston Bruins",102,"Round 4","CA","D","Skater",543,126,23.50,"Solid NHL Player"
"Igor Shesterkin",2014,"2010s","New York Rangers",118,"Round 4","RU","G","Goalie",100,1,23.50,"Solid NHL Player"
"MacKenzie Weegar",2013,"2010s","Florida Panthers",206,"Round 5+","CA","D","Skater",306,121,23.50,"Solid NHL Player"
"Kyle Brodziak",2003,"2000s","Edmonton Oilers",214,"Round 5+","CA","C","Skater",917,296,23.20,"Solid NHL Player"
"Gaetan Duchesne",1981,"1980s","Washington Capitals",152,"Round 5+","CA","LW","Skater",1028,433,23.20,"Solid NHL Player"
"Pat Boutette",1972,"Pre-1980","Toronto Maple Leafs",139,"Round 5+","CA","C/RW","Skater",756,453,23.00,"Solid NHL Player"
"Karri Ramo",2004,"2000s","Tampa Bay Lightning",191,"Round 5+","FI","G","Goalie",159,4,22.90,"Solid NHL Player"
"Valeri Zelepukin",1990,"1990s","New Jersey Devils",221,"Round 5+","RU","LW","Skater",595,294,22.70,"Solid NHL Player"
"Matt Hunwick",2004,"2000s","Boston Bruins",224,"Round 5+","United States","D","Skater",535,119,22.60,"Solid NHL Player"
"Darren Van Impe",1993,"1990s","New York Islanders",170,"Round 5+","CA","D","Skater",411,115,22.40,"Solid NHL Player"
"Radek Martinek",1999,"1990s","New York Islanders",228,"Round 5+","CZ","D","Skater",486,110,22.30,"Solid NHL Player"
"Alex Selivanov",1994,"1990s","Philadelphia Flyers",140,"Round 5+","RU","RW","Skater",459,235,22.30,"Solid NHL Player"
"Craig MacTavish",1978,"Pre-1980","Boston Bruins",153,"Round 5+","CA","C","Skater",1093,480,22.30,"Solid NHL Player"
"Kyle Wellwood",2001,"2000s","Toronto Maple Leafs",134,"Round 5+","CA","C","Skater",489,235,22.30,"Solid NHL Player"
"Alexander Khavanov",1999,"1990s","St. Louis Blues",232,"Round 5+","RU","D","Skater",348,102,22.00,"Solid NHL Player"
"Greg Fox",1973,"Pre-1980","Atlanta Flames",162,"Round 5+","CA","D","Skater",494,106,21.90,"Solid NHL Player"
"Trent Hunter",1998,"1990s","Anaheim Ducks",150,"Round 5+","CA","RW","Skater",497,236,21.90,"Solid NHL Player"
"Paul Byron",2007,"2000s","Buffalo Sabres",179,"Round 5+","CA","C","Skater",521,208,21.90,"Solid NHL Player"
"Paul Holmgren",1975,"Pre-1980","Philadelphia Flyers",108,"Round 4","United States","RW","Skater",527,323,21.60,"Solid NHL Player"
"Darren Helm",2005,"2000s","Detroit Red Wings",132,"Round 5+","CA","C/LW","Skater",812,266,21.60,"Solid NHL Player"
"Colin Miller",2012,"2010s","Los Angeles Kings",151,"Round 5+","CA","D","Skater",387,136,21.50,"Solid NHL Player"
"Tyler Arnason",1998,"1990s","Chicago Blackhawks",183,"Round 5+","United States","C","Skater",487,245,21.50,"Solid NHL Player"
"Derek Plante",1989,"1980s","Buffalo Sabres",161,"Round 5+","United States","C","Skater",450,248,21.40,"Solid NHL Player"
"Alex Stalock",2005,"2000s","San Jose Sharks",112,"Round 4","United States","G","Goalie",152,4,21.00,"Solid NHL Player"
"Shane O'Brien",2003,"2000s","Anaheim Ducks",250,"Round 5+","CA","D","Skater",537,92,21.00,"Solid NHL Player"
"Antti Miettinen",2000,"2000s","Dallas Stars",224,"Round 5+","FI","RW","Skater",539,230,21.00,"Solid NHL Player"
"Kari Takko",1981,"1980s","Quebec Nordiques",200,"Round 5+","FI","G","Goalie",142,2,20.60,"Solid NHL Player"
"Ben Chiarot",2009,"2000s","Atlanta Thrashers",120,"Round 4","CA","D","Skater",489,118,20.50,"Solid NHL Player"
"Louis Domingue",2010,"2010s","Phoenix Coyotes",138,"Round 5+","CA","G","Goalie",142,2,20.30,"Solid NHL Player"
"Marek Svatos",2001,"2000s","Colorado Avalanche",227,"Round 5+","SK","RW","Skater",344,172,20.10,"Solid NHL Player"
